analyzer,analyzer_name,source,variant_name,model,row_id,file_path,eval_full_pass,feedback_compiled,feedback_full_pass,status,observed_findings
semgrep,Semgrep + Decurity,full,Full,claude-sonnet-4-5,165,repository/openzeppelin-contracts/contracts/utils/Packing.sol,True,True,True,partial,0
semgrep,Semgrep + Decurity,full,Full,claude-sonnet-4-5,166,repository/openzeppelin-contracts/contracts/utils/SlotDerivation.sol,False,True,True,partial,0
semgrep,Semgrep + Decurity,full,Full,claude-sonnet-4-5,168,repository/openzeppelin-contracts/contracts/utils/Create2.sol,True,True,True,partial,0
semgrep,Semgrep + Decurity,full,Full,claude-sonnet-4-5,170,repository/openzeppelin-contracts/contracts/utils/Strings.sol,False,True,True,partial,0
semgrep,Semgrep + Decurity,full,Full,claude-sonnet-4-5,216,repository/solady/lib/solady/src/utils/LibBytes.sol,False,True,False,partial,4
semgrep,Semgrep + Decurity,full,Full,claude-sonnet-4-5,222,repository/solady/lib/solady/src/utils/EnumerableSetLib.sol,False,True,False,partial,0
semgrep,Semgrep + Decurity,full,Full,claude-sonnet-4-5,224,repository/solady/lib/solady/src/utils/JSONParserLib.sol,False,True,False,partial,0
semgrep,Semgrep + Decurity,full,Full,claude-sonnet-4-5,226,repository/solady/lib/solady/src/utils/DynamicArrayLib.sol,False,True,False,partial,0
semgrep,Semgrep + Decurity,full,Full,claude-sonnet-4-5,228,repository/solady/lib/solady/src/utils/DynamicBufferLib.sol,False,True,False,partial,0
semgrep,Semgrep + Decurity,full,Full,gpt-5.1,246,repository/openzeppelin-contracts/contracts/utils/Packing.sol,False,True,False,partial,0
semgrep,Semgrep + Decurity,full,Full,gpt-5.1,247,repository/openzeppelin-contracts/contracts/utils/SlotDerivation.sol,False,True,True,partial,0
semgrep,Semgrep + Decurity,full,Full,gpt-5.1,305,repository/solady/lib/solady/src/utils/JSONParserLib.sol,False,True,False,partial,0
semgrep,Semgrep + Decurity,full,Full,gpt-5.1,307,repository/solady/lib/solady/src/utils/DynamicArrayLib.sol,False,True,False,partial,0
semgrep,Semgrep + Decurity,full,Full,gpt-5.1,318,repository/solady/lib/solady/src/utils/ReentrancyGuardTransient.sol,False,True,True,partial,0
semgrep,Semgrep + Decurity,no_slither,w/o Slither,claude-sonnet-4-5,244,repository/openzeppelin-contracts/contracts/utils/Packing.sol,True,True,True,partial,0
semgrep,Semgrep + Decurity,no_slither,w/o Slither,claude-sonnet-4-5,245,repository/openzeppelin-contracts/contracts/utils/SlotDerivation.sol,False,True,True,partial,0
semgrep,Semgrep + Decurity,no_slither,w/o Slither,claude-sonnet-4-5,302,repository/openzeppelin-contracts/contracts/utils/ShortStrings.sol,True,True,True,partial,0
semgrep,Semgrep + Decurity,no_slither,w/o Slither,claude-sonnet-4-5,303,repository/openzeppelin-contracts/contracts/utils/Create2.sol,True,True,True,partial,0
semgrep,Semgrep + Decurity,no_slither,w/o Slither,claude-sonnet-4-5,305,repository/openzeppelin-contracts/contracts/utils/Strings.sol,False,True,True,partial,0
semgrep,Semgrep + Decurity,no_slither,w/o Slither,claude-sonnet-4-5,432,repository/solady/lib/solady/src/utils/LibBytes.sol,False,True,False,partial,3
semgrep,Semgrep + Decurity,no_slither,w/o Slither,claude-sonnet-4-5,438,repository/solady/lib/solady/src/utils/EnumerableSetLib.sol,False,True,False,partial,0
semgrep,Semgrep + Decurity,no_slither,w/o Slither,claude-sonnet-4-5,440,repository/solady/lib/solady/src/utils/JSONParserLib.sol,False,True,False,partial,19
semgrep,Semgrep + Decurity,no_slither,w/o Slither,claude-sonnet-4-5,442,repository/solady/lib/solady/src/utils/DynamicArrayLib.sol,False,True,False,partial,0
semgrep,Semgrep + Decurity,no_slither,w/o Slither,claude-sonnet-4-5,444,repository/solady/lib/solady/src/utils/DynamicBufferLib.sol,False,True,False,partial,0
semgrep,Semgrep + Decurity,no_slither,w/o Slither,gpt-5.1,317,repository/openzeppelin-contracts/contracts/utils/Packing.sol,False,True,False,partial,0
semgrep,Semgrep + Decurity,no_slither,w/o Slither,gpt-5.1,318,repository/openzeppelin-contracts/contracts/utils/SlotDerivation.sol,False,True,False,partial,0
semgrep,Semgrep + Decurity,no_slither,w/o Slither,gpt-5.1,376,repository/solady/lib/solady/src/utils/JSONParserLib.sol,False,True,False,partial,0
semgrep,Semgrep + Decurity,no_slither,w/o Slither,gpt-5.1,389,repository/solady/lib/solady/src/utils/ReentrancyGuardTransient.sol,False,True,False,partial,0
slither,Slither,full,Full,gpt-5-mini,3,repository/openzeppelin-contracts/contracts/utils/ShortStrings.sol,False,True,False,error,
slither,Slither,full,Full,gpt-5-mini,4,repository/openzeppelin-contracts/contracts/utils/Create2.sol,False,True,True,error,
slither,Slither,full,Full,gpt-5-mini,125,repository/solady/lib/solady/src/utils/DateTimeLib.sol,False,False,False,error,
slither,Slither,no_slither,w/o Slither,gpt-5-mini,259,repository/openzeppelin-contracts/contracts/token/ERC721/ERC721.sol,True,False,False,error,
slither,Slither,no_slither,w/o Slither,gpt-5-mini,477,repository/solady/lib/solady/src/utils/DateTimeLib.sol,False,False,False,error,
