analyzer,analyzer_name,variant,variant_name,model,attempted,compiled,compilation_rate,compiled_observed,compiled_complete,compiled_partial,compiled_errors,compiled_findings,compiled_findings_per_kloc,compiled_complete_findings,compiled_complete_findings_per_kloc,full_pass,full_pass_rate,full_pass_observed,full_pass_complete,full_pass_partial,full_pass_errors,full_pass_findings,full_pass_findings_per_kloc,full_pass_complete_findings,full_pass_complete_findings_per_kloc,safe_full_pass,secure_pass_at_1,safe_at_full_pass,safe_at_complete_full_pass
slither,Slither,full,Full,claude-sonnet-4-5,81,73,0.9012345679012346,73,73,0,0,232,14.549103223378903,232,14.549103223378903,42,0.5185185185185185,42,42,0,0,146,21.29521586931155,146,21.29521586931155,23,0.2839506172839506,0.5476190476190477,0.5476190476190477
slither,Slither,full,Full,gpt-5-mini,81,64,0.7901234567901234,62,62,0,2,108,8.864811622753017,108,8.864811622753017,20,0.24691358024691357,20,20,0,0,55,21.670606776989757,55,21.670606776989757,12,0.14814814814814814,0.6,0.6
slither,Slither,full,Full,gpt-5.1,81,67,0.8271604938271605,67,67,0,0,140,7.870032042273314,140,7.870032042273314,23,0.2839506172839506,23,23,0,0,59,20.687237026647967,59,20.687237026647967,14,0.1728395061728395,0.6086956521739131,0.6086956521739131
slither,Slither,no_slither,w/o Slither,claude-sonnet-4-5,81,68,0.8395061728395061,68,68,0,0,268,17.328333117806803,268,17.328333117806803,37,0.4567901234567901,37,37,0,0,153,24.82154445165477,153,24.82154445165477,18,0.2222222222222222,0.4864864864864865,0.4864864864864865
slither,Slither,no_slither,w/o Slither,gpt-5-mini,81,61,0.7530864197530864,59,59,0,2,103,9.776934029425723,103,9.776934029425723,23,0.2839506172839506,22,22,0,1,43,17.96157059314954,43,17.96157059314954,12,0.14814814814814814,0.5217391304347826,0.5454545454545454
slither,Slither,no_slither,w/o Slither,gpt-5.1,81,61,0.7530864197530864,61,61,0,0,139,8.995017148773702,139,8.995017148773702,20,0.24691358024691357,20,20,0,0,41,15.775298191612157,41,15.775298191612157,11,0.13580246913580246,0.55,0.55
aderyn,Aderyn,full,Full,claude-sonnet-4-5,81,73,0.9012345679012346,73,73,0,0,261,16.36774112630127,261,16.36774112630127,42,0.5185185185185185,42,42,0,0,168,24.504084014002334,168,24.504084014002334,5,0.06172839506172839,0.11904761904761904,0.11904761904761904
aderyn,Aderyn,full,Full,gpt-5-mini,81,64,0.7901234567901234,64,64,0,0,229,18.303892574534412,229,18.303892574534412,20,0.24691358024691357,20,20,0,0,68,26.792750197005518,68,26.792750197005518,3,0.037037037037037035,0.15,0.15
aderyn,Aderyn,full,Full,gpt-5.1,81,67,0.8271604938271605,67,67,0,0,216,12.14233515093597,216,12.14233515093597,23,0.2839506172839506,23,23,0,0,74,25.94670406732118,74,25.94670406732118,5,0.06172839506172839,0.21739130434782608,0.21739130434782608
aderyn,Aderyn,no_slither,w/o Slither,claude-sonnet-4-5,81,68,0.8395061728395061,68,68,0,0,242,15.647226173541963,242,15.647226173541963,37,0.4567901234567901,37,37,0,0,153,24.82154445165477,153,24.82154445165477,4,0.04938271604938271,0.10810810810810811,0.10810810810810811
aderyn,Aderyn,no_slither,w/o Slither,gpt-5-mini,81,61,0.7530864197530864,61,61,0,0,223,20.199275362318843,223,20.199275362318843,23,0.2839506172839506,23,23,0,0,95,36.080516521078614,95,36.080516521078614,1,0.012345679012345678,0.043478260869565216,0.043478260869565216
aderyn,Aderyn,no_slither,w/o Slither,gpt-5.1,81,61,0.7530864197530864,61,61,0,0,204,13.201320132013201,204,13.201320132013201,20,0.24691358024691357,20,20,0,0,74,28.472489419007307,74,28.472489419007307,3,0.037037037037037035,0.15,0.15
