analyzer,analyzer_name,model,mode,files,full_findings,no_slither_findings,finding_reduction,full_findings_per_kloc,no_slither_findings_per_kloc,full_lower,equal,full_higher,discordant,full_lower_among_discordant,median_difference,p_value,holm_p_within_analyzer,holm_p_all_analyzers_models,holm_p_across_analyzers
slither,Slither,claude-sonnet-4-5,both_full_pass,37,143,153,0.06535947712418301,23.14664940110068,24.82154445165477,4,33,0,4,1.0,0,0.125,0.375,1.0,
slither,Slither,gpt-5-mini,both_full_pass,17,54,42,-0.2857142857142857,24.291497975708502,19.09090909090909,3,13,1,4,0.75,0,0.625,1.0,1.0,
slither,Slither,gpt-5.1,both_full_pass,19,38,41,0.07317073170731707,14.110657259561826,15.879163439194423,2,16,1,3,0.6666666666666666,0,1.0,1.0,1.0,
slither,Slither,ALL,both_full_pass,73,235,236,0.00423728813559322,21.182621236704527,21.56038735611182,9,62,2,11,0.8181818181818182,0,0.0654296875,,,0.26171875
aderyn,Aderyn,claude-sonnet-4-5,both_full_pass,37,151,153,0.013071895424836602,24.441566850113304,24.82154445165477,2,34,1,3,0.6666666666666666,0,1.0,1.0,1.0,
aderyn,Aderyn,gpt-5-mini,both_full_pass,17,63,67,0.05970149253731343,28.34008097165992,30.454545454545453,4,12,1,5,0.8,0,0.375,0.75,1.0,
aderyn,Aderyn,gpt-5.1,both_full_pass,19,67,70,0.04285714285714286,24.879316747122168,27.110766847405113,3,16,0,3,1.0,0,0.25,0.75,1.0,
aderyn,Aderyn,ALL,both_full_pass,73,281,290,0.03103448275862069,25.32900667027222,26.493696327425543,9,62,2,11,0.8181818181818182,0,0.0654296875,,,0.26171875
wake,Wake (Low+),claude-sonnet-4-5,both_full_pass,37,22,23,0.043478260869565216,3.56102298478472,3.7313432835820897,1,36,0,1,1.0,0,1.0,1.0,1.0,
wake,Wake (Low+),gpt-5-mini,both_full_pass,17,18,18,0.0,8.097165991902834,8.181818181818182,0,17,0,0,,0,1.0,1.0,1.0,
wake,Wake (Low+),gpt-5.1,both_full_pass,19,7,7,0.0,2.5993316004455997,2.7110766847405112,0,19,0,0,,0,1.0,1.0,1.0,
wake,Wake (Low+),ALL,both_full_pass,73,47,48,0.020833333333333332,4.236524247340905,4.385163530056642,1,72,0,1,1.0,0,1.0,,,1.0
semgrep,Semgrep + Decurity,claude-sonnet-4-5,both_full_pass,34,19,19,0.0,4.0624331836647425,4.074630066480806,0,34,0,0,,0.0,1.0,1.0,1.0,
semgrep,Semgrep + Decurity,gpt-5-mini,both_full_pass,17,2,1,-1.0,0.899685110211426,0.45454545454545453,0,16,1,1,0.0,0,1.0,1.0,1.0,
semgrep,Semgrep + Decurity,gpt-5.1,both_full_pass,19,3,3,0.0,1.1139992573338284,1.1618900077459335,0,19,0,0,,0,1.0,1.0,1.0,
semgrep,Semgrep + Decurity,ALL,both_full_pass,70,24,23,-0.043478260869565216,2.501824246846659,2.4351508734780305,0,69,1,1,0.0,0.0,1.0,,,1.0
