analyzer,analyzer_name,model,mode,files,full_findings,no_slither_findings,finding_reduction,full_findings_per_kloc,no_slither_findings_per_kloc,full_lower,equal,full_higher,discordant,full_lower_among_discordant,median_difference,p_value,holm_p_within_analyzer,holm_p_all_analyzers_models,holm_p_across_analyzers
slither,Slither,claude-sonnet-4-5,common_compiled,68,219,268,0.1828358208955224,14.287578288100208,17.328333117806803,13,55,0,13,1.0,0.0,0.000244140625,0.000732421875,0.0029296875,
slither,Slither,gpt-5-mini,common_compiled,56,97,102,0.049019607843137254,9.212650774052616,9.802037286181049,11,41,4,15,0.7333333333333333,0.0,0.11846923828125,0.11846923828125,1.0,
slither,Slither,gpt-5.1,common_compiled,60,101,123,0.17886178861788618,6.416364906930945,8.123101307621186,13,43,4,17,0.7647058823529411,0.0,0.049041748046875,0.09808349609375,0.539459228515625,
slither,Slither,ALL,common_compiled,184,417,493,0.15415821501014199,10.024520409635079,12.020285756083288,37,139,8,45,0.8222222222222222,0.0,1.5374090196473844e-05,,,6.149636078589538e-05
aderyn,Aderyn,claude-sonnet-4-5,common_compiled,68,241,242,0.004132231404958678,15.722860125260961,15.647226173541963,5,61,2,7,0.7142857142857143,0.0,0.453125,1.0,1.0,
aderyn,Aderyn,gpt-5-mini,common_compiled,59,215,214,-0.004672897196261682,19.43766386402676,19.488206902832165,7,43,9,16,0.4375,0,0.803619384765625,1.0,1.0,
aderyn,Aderyn,gpt-5.1,common_compiled,60,194,200,0.03,12.324502890540627,13.20829480914014,10,44,6,16,0.625,0.0,0.454498291015625,1.0,1.0,
aderyn,Aderyn,ALL,common_compiled,187,650,656,0.009146341463414634,15.42843579397104,15.773401620620838,22,148,17,39,0.5641025641025641,0,0.5223973804968409,,,1.0
wake,Wake (Low+),claude-sonnet-4-5,common_compiled,68,25,26,0.038461538461538464,1.6310020876826723,1.681106944264839,1,67,0,1,1.0,0.0,1.0,1.0,1.0,
wake,Wake (Low+),gpt-5-mini,common_compiled,59,26,25,-0.04,2.3506012114637014,2.2766596849102996,1,56,2,3,0.3333333333333333,0,1.0,1.0,1.0,
wake,Wake (Low+),gpt-5.1,common_compiled,60,12,13,0.07692307692307693,0.7623403849818944,0.8585391625941091,1,59,0,1,1.0,0.0,1.0,1.0,1.0,
wake,Wake (Low+),ALL,common_compiled,187,63,64,0.015625,1.4953714692618085,1.538868450792277,3,182,2,5,0.6,0,1.0,,,1.0
semgrep,Semgrep + Decurity,claude-sonnet-4-5,common_compiled,59,110,106,-0.03773584905660377,10.290953316493592,9.746230231702832,4,49,6,10,0.4,0,0.75390625,1.0,1.0,
semgrep,Semgrep + Decurity,gpt-5-mini,common_compiled,59,17,13,-0.3076923076923077,1.5369315613416508,1.1838630361533558,1,55,3,4,0.25,0,0.625,1.0,1.0,
semgrep,Semgrep + Decurity,gpt-5.1,common_compiled,55,30,27,-0.1111111111111111,2.3004370830457788,2.162768343479654,2,51,2,4,0.5,0,1.0,1.0,1.0,
semgrep,Semgrep + Decurity,ALL,common_compiled,173,157,146,-0.07534246575342465,4.5126613204564405,4.251477825339973,7,155,11,18,0.3888888888888889,0,0.480682373046875,,,1.0
