analyzer,analyzer_name,model,mode,files,full_findings,no_slither_findings,finding_reduction,full_findings_per_kloc,no_slither_findings_per_kloc,full_lower,equal,full_higher,discordant,full_lower_among_discordant,median_difference,p_value,holm_p_within_analyzer,holm_p_all_analyzers_models,holm_p_across_analyzers
slither,Slither,claude-sonnet-4-5,feedback_both_full_pass,39,131,132,0.007575757575757576,22.660439370351153,22.90473711608537,1,38,0,1,1.0,0,1.0,1.0,1.0,
slither,Slither,gpt-5-mini,feedback_both_full_pass,30,72,62,-0.16129032258064516,22.23594811612106,19.018404907975462,5,24,1,6,0.8333333333333334,0.0,0.21875,0.65625,1.0,
slither,Slither,gpt-5.1,feedback_both_full_pass,19,28,32,0.125,14.02103154732098,15.78687715836211,3,15,1,4,0.75,0,0.625,1.0,1.0,
slither,Slither,ALL,feedback_both_full_pass,88,231,226,-0.022123893805309734,20.96949891067538,20.452488687782804,9,77,2,11,0.8181818181818182,0.0,0.0654296875,,,0.26171875
aderyn,Aderyn,claude-sonnet-4-5,feedback_both_full_pass,39,158,160,0.0125,27.330911606988412,27.763317716467117,2,37,0,2,1.0,0,0.5,1.0,1.0,
aderyn,Aderyn,gpt-5-mini,feedback_both_full_pass,31,134,137,0.021897810218978103,40.928527794746486,41.540327471194665,6,22,3,9,0.6666666666666666,0,0.5078125,1.0,1.0,
aderyn,Aderyn,gpt-5.1,feedback_both_full_pass,19,85,87,0.022988505747126436,42.563845768652975,42.92057227429699,2,17,0,2,1.0,0,0.5,1.0,1.0,
aderyn,Aderyn,ALL,feedback_both_full_pass,89,377,384,0.018229166666666668,34.11147303655447,34.63203463203463,10,76,3,13,0.7692307692307693,0,0.09228515625,,,0.27685546875
wake,Wake (Low+),claude-sonnet-4-5,feedback_both_full_pass,39,24,25,0.04,4.151530877010898,4.338018393197987,1,38,0,1,1.0,0,1.0,1.0,1.0,
wake,Wake (Low+),gpt-5-mini,feedback_both_full_pass,31,22,21,-0.047619047619047616,6.719609040928527,6.367495451788963,0,30,1,1,0.0,0,1.0,1.0,1.0,
wake,Wake (Low+),gpt-5.1,feedback_both_full_pass,19,7,8,0.125,3.505257886830245,3.9467192895905274,1,18,0,1,1.0,0,1.0,1.0,1.0,
wake,Wake (Low+),ALL,feedback_both_full_pass,89,53,54,0.018518518518518517,4.795512124502353,4.870129870129871,2,86,1,3,0.6666666666666666,0,1.0,,,1.0
semgrep,Semgrep + Decurity,claude-sonnet-4-5,feedback_both_full_pass,34,9,9,0.0,2.2796352583586628,2.2871664548919948,0,34,0,0,,0.0,1.0,1.0,1.0,
semgrep,Semgrep + Decurity,gpt-5-mini,feedback_both_full_pass,31,9,8,-0.125,2.748930971288943,2.425712553062462,0,30,1,1,0.0,0,1.0,1.0,1.0,
semgrep,Semgrep + Decurity,gpt-5.1,feedback_both_full_pass,19,3,3,0.0,1.502253380070105,1.4800197335964478,0,19,0,0,,0,1.0,1.0,1.0,
semgrep,Semgrep + Decurity,ALL,feedback_both_full_pass,84,21,20,-0.05,2.277904328018223,2.159827213822894,0,83,1,1,0.0,0.0,1.0,,,1.0
