model,method,attempted,safe_full_pass,secure_pass_at_1,safe_at_full_pass,safe_at_full_pass_denominator,baseline_solagent_findings_with_n,baseline_solagent_findings_per_kloc,solagent_finding_count_reduction,holm_p
claude-sonnet-4-5,SolAgent,81,23,0.2839506172839506,0.5476190476190477,42,,,,
claude-sonnet-4-5,RawModel,81,11,0.13580246913580246,0.5238095238095238,21,46/40 (n=20),15.42/13.81,0.13043478260869565,0.00146484375
claude-sonnet-4-5,MetaGPT,81,9,0.1111111111111111,0.5625,16,11/11 (n=14),7.25/8.46,0.0,0.0006103515625
claude-sonnet-4-5,DeepCode,81,9,0.1111111111111111,0.5294117647058824,17,28/20 (n=17),21.08/15.13,0.2857142857142857,0.0006103515625
claude-sonnet-4-5,QwenAgent,81,13,0.16049382716049382,0.5909090909090909,22,23/15 (n=21),6.73/4.93,0.34782608695652173,0.001953125
claude-sonnet-4-5,Copilot,81,11,0.13580246913580246,0.4782608695652174,23,32/24 (n=22),16.98/14.04,0.25,0.00146484375
gpt-5-mini,SolAgent,81,12,0.14814814814814814,0.6,20,,,,
gpt-5-mini,RawModel,81,4,0.04938271604938271,0.4,10,13/3 (n=6),59.91/12.61,0.7692307692307693,0.2294921875
gpt-5-mini,MetaGPT,81,2,0.024691358024691357,0.4,5,4/1 (n=2),45.45/10.87,0.75,0.064697265625
gpt-5-mini,DeepCode,81,5,0.06172839506172839,0.4166666666666667,12,24/25 (n=8),21.35/18.90,-0.041666666666666664,0.35540771484375
gpt-5-mini,QwenAgent,81,6,0.07407407407407407,0.46153846153846156,13,12/10 (n=9),9.93/9.12,0.16666666666666666,0.35540771484375
gpt-5-mini,Copilot,81,8,0.09876543209876543,0.5714285714285714,14,21/22 (n=8),21.54/27.16,-0.047619047619047616,0.454498291015625
gpt-5.1,SolAgent,81,14,0.1728395061728395,0.6086956521739131,23,,,,
gpt-5.1,RawModel,81,9,0.1111111111111111,0.5294117647058824,17,20/19 (n=17),9.85/9.85,0.05,0.0625
gpt-5.1,MetaGPT,81,6,0.07407407407407407,0.5,12,8/6 (n=9),6.22/4.71,0.25,0.0390625
gpt-5.1,DeepCode,81,7,0.08641975308641975,0.5,14,13/10 (n=12),8.92/7.03,0.23076923076923078,0.0625
gpt-5.1,QwenAgent,81,7,0.08641975308641975,0.5384615384615384,13,16/14 (n=12),10.90/10.79,0.125,0.0625
gpt-5.1,Copilot,81,8,0.09876543209876543,0.5333333333333333,15,14/10 (n=14),9.11/6.25,0.2857142857142857,0.0625
